Word,Split
तस्मान्निषिद्धत्वस्योपाधित्वाद्व्याप्य-,तस्मात्+निषिद्धत्वस्य+उपाधित्वात्+अव्याप्य-
सरवहदा,सर+वह+दा
घ्राधातोर्गन्धविषयकलौकिकप्रत्यक्षार्थकत्वे,घ्राधातोः+गन्धविषयकलौकिकप्रत्यक्षार्थकत्वे
बांधोगी,बांध+ोगी
पिलवाता,पिलवा+ता
(वि-१)प्रकृत्येकदेशार्थपाकस्य,(वि-१)प्रकृति+एकदेशार्थपाकस्य
मेकर,मेकर
छूपा,छूपा
तञ्जोर,तञ्जोर
यो नीलं,यः+ नीलम्+
कामोऽपि,कामः+अपि
गर्वि,गर्वि
विपक्षादेव,विपक्षात्+एव
नरना,नर+ना
उद्भावितदोषं निरास्यति,उद्भावितदोषम्+ निरास्यति
स्थित इति,स्थितः+ इति
चरन,चर्+अन
जलकल,जलकल
नालोघट,नीलः+घट
लुटा,लुटा
करसेवक,कर+सेवक
नकल,नकल
प्रवेशकर,प्र+वेश+कर
प्रदीपो घटप्रकाशेच्छया,प्रदीपः+ घटप्रकाशेच्छया
रक्तप्रवाह,रक्त+प्र+वाह
परामर्शपत्र,परामर्श+पत्र
स्वतःप्रामाण्यसिद्धिरित्यभिप्रायेणोपसंहरति,स्वतःप्रामाण्यसिद्धिः+इति+अभिप्रायेण+उपसंहरति
त्वदनुमतं च,त्वत्+अनुमतम्+ च
पदवेश,पद+वेश
सहकर्मी,सह+कर्मी
प्रमाणं चाह,प्रमाणम्+च+आह
भ्रमणपथ,भ्रमण+पथ
पटेलनगर,पटेल+नगर
केशकर,केश+कर
पेयत्वं हि,पेयत्वम्+ हि
हेतोर्गमकत्वात्,हेतोः+गमकत्वात्
किसलय,किसलय
चन्द्रगहण,चन्द्र+गहण
सलवम,सल+वम
पितृवचनम्,पितृ+वचनम्
बलप्रद,बल+प्रद
सद्धार्थ,सत्+ह+अर्थ
सर्वस्यामवस्थायां न,सर्वस्याम्+अवस्थायाम्+ न
अनुमित्यतिरिक्तं हि,अनुमित्यतिरिक्तम्+ हि
सत्यां,कस्माश्चिदत्+मतम्+आकाङ्क्षाज्ञानात्
जठरनिर्गम,जठर+निर्गम
यादृशं च।,यादृशम्+ च।
पिशाचो नोपलभ्यते,पिशाचः+न+उपलभ्यते
यद्युपार्जनम्,यदि+उपार्जनम्
परं विचारः,परम्+विचारः
खिजाने,खिजा+ने
जलस्थान,जल+स्थान
पलवार,पल+वार
सताइये,सता+इये
तस्यां स्वतस्त्वं,तस्याम्+ स्वतस्त्वम्+
घटादिपदानां कार्यतावाचकत्त्वमिति,घटादिपदानाम्+ कार्यतावाचकत्त्वम्+इति
प्रयोगस्तथा,प्रयोग+तथा
जसलीन,जस+लीन
झुकायेंगे,झुका+येंगे
स्वरसन्धि,स्वर+सन्धि
भिगोकर,भिगो+कर
तरार,तर+आर
प्रत्यासत्तिसिद्धावित्यभ्युपगमे,प्रत्यासत्तिसिद्धौ+इति+अभ्युपगमे
परितन्त्र,परि+तन्त्र
सदर,सदर
डाक,डाक
अप्रामाण्यज्ञानानास्कन्दिततत्तदाकाङ्क्षाज्ञानस्य,अप्रामाण्यज्ञानानास्कन्दिततत्तत्+आकाङ्क्षाज्ञानस्य
प्रतीम,प्र+तीम
ततोऽचिरेणैव,ततः+चिरेण+एव
प्रयोजनं द्रष्टव्यम्,प्रयोजनम्+ द्रष्टव्यम्
ऍ,ऍ
स्टेरॉयड,स्टेरॉयड
चित्रवंश,चित्र+वंश
अपडेट,अपडेट
तथाभावप्रसंग इत्यर्थः,तथाभावप्रसंगः+ इत्यर्थः
करा,करा
प्रोपाभ्यां युजेरयज्ञपात्रेषु,प्रोपाभ्याम्+युजेः+अयज्ञपात्रेषु
संसव,संसव
इक्ष,इक्ष
तादृशं रूपम्,तादृशम्+ रूपम्
मदहे,मत्+अहे
भैरवनाथ,भैरव+नाथ
सद्धेतुसाधारणतयाप्रकृतसाध्यनिरूपिततद्राहित्यं वाच्यम्,सद्धेतुसाधारणतयाप्रकृतसाध्यनिरूपिततद्राहित्यम्+ वाच्यम्
पोंछायेंगी,पोंछा+येंगी
ढूँढी,ढूँढ+ी
करवात,कर+वात
बहकके,बहक+के
कलरफुल,कलरफुल
एवं चात्यन्ताभावपरत्वेऽपि,एवम्+ च+अत्यन्ताभावपरत्वे+अपि
दुधमुँहा,दुध+मुँहा
फंसायी,फंसा+यी
क्षारक,क्षार्+अक
सुस्ताओ,सुस्ता+ओ
तोडोगे,तोड+ोगे
चय्,चय्
"बोधो भवत्वित्येवंरूपः,","बोधः+ भवतु+इत्येवम्+रूपः,"
नित्यत्वादिस्तस्योपपत्तिः,नित्यत्वादिः+तस्य+उपपत्तिः
स्थूलोऽहं कृशोहमिति,स्थूलः+अहम्+ कृशोहम्+इति
जलावतरण,जल+अवतरण
नृपः,नृपः
भ्रमर,भ्रमर
यद्यभविष्यदिति,यदि+अभविष्यत्+इति
वृक्षम्,वृक्ष+अम्
बन्धमुक्त,बन्ध+मुक्त
कुतश्चिद्रूपत्वमात्मनः,कुतश्चित्+रूपत्वम्+आत्मनः
लोमादिमन्निष्ठपशुपदजन्यबोधविषयताऽवच्छेदकं भवत्वित्याकारकसंकेते,लोमादिमन्निष्ठपशुपदजन्यबोधविषयता+अवच्छेदकम्+ भवतु+इत्याकारकसंकेते
लम्बा,लम्बा
भद्रसेन,भद्र+सेन
तत्तद्व्यक्तिविशिष्टेत्यर्थः,तत्तद्व्यक्तिविशिष्ट+इत्यर्थः
दहन,दहन
ऊर्ध्वदन्त,ऊर्ध्व+दन्त
चान्ततः,च+अन्ततः
जलवाकर,जलवा+कर
इत्याह--तादृशेति,इति+आह--तादृशेति
उतसव,उत+सव
"""कतिपयैरिति","""कतिपयैः+इति"
गुनगुना,गुनगुना
कूलरञ्जन,कूल+रञ्जन
अहमपि,अहम्+अपि
"अथैकपुरुषोच्चरितशब्देऽन्यपुरुषोच्चरितशब्दवैजात्यमनुभवसिद्धम्,","अथ+एकपुरुषोच्चरितशब्दे+अन्यपुरुषोच्चरितशब्दवैजात्यम्+अनुभवसिद्धम्,"
शस्त्रीकरण,शस्त्री+कर्+अन
वर्णन,वर्णन
राजवानित्याकारकेत्यर्थः,राजवान्+इत्याकारक+इत्यर्थः
लिङ्गमाश्रित्य,लिङ्गम्+आश्रित्य
कातक,कात्+अक
जिचकर,जिचकर
सार्थकत्वादिति,सार्थकत्वात्+इति
करेड,कर+इड
शक्ततावच्छेदकं स्यात्तदा,शक्ततावच्छेदकम्+ स्यात्+तदा
समावर्तन,सम्+आवर्तन
संख्याकर्मत्वयोरुभयोर्विशेष्यत्वे,संख्याकर्मत्वयोः+उभयोः+विशेष्यत्वे
युज्,युज्
रुपया,रुपया
नववर्षारम्भ,नव+वर्ष+आरम्भ
तादृशान्वयबोध,तादृश+अन्वयबोध
विभाषर्जोश्छन्दसि,विभाषा+ऋजोः+छन्दसि
तं 12संख्यानुधावतीति,तम्+ संख्यानुधावति+इति
प्रमाणवत्तयाऽयमर्थोऽभ्युपगतस्त्वया,प्रमाणवत्तया+अयम्+अर्थः+अभ्युपगतः+त्वया
शुद्धिमति,शुद्धिम्+अति
फडित्यनेन,फट्+इति+अनेन
तृतीयाऽऽदिषु भाषितपुंस्कं पुंवद्गालवस्य,तृतीयाऽऽदिषु+भाषितपुंस्कम्+पुंवत्+गालवस्य
वरप्रदा,वर+प्रदा
द्वित्वाद्येनुयोगितानवच्छेदकमित्याह,द्वित्वाद्येवानुयोगितानवच्छेदकम्+इति+आह
दण्डवीर,दण्ड+वीर
बवनवास,बव+नव+आस
विशिष्टानुसरणमिति,विशिष्टानुसरणम्+इति
प्रथमोऽपराधः,प्रथमः+अपराधः
स्वतस्त्वपक्षस्त्यक्तव्यः,स्वतस्त्वपक्षः+तु+वक्तव्यः
कूदी,कूद+ी
डाँ,डाँ
सोऽयं तपःस्वाध्यायेश्वरप्रणिधानादिक्रया,सः+अयम्+ तपःस्वाध्याय+ईश्वरप्रणिधानादिक्रया
नियुक्तोऽसि,नियुक्तः+असि
प्रदर्शनीय,प्र+दर्शनीय
परन्तु,परन्तु
डाकिनीति,डाकिनी+इति
दुग्धमपि,दुग्धम्+अपि
शनैरुच्छिद्य,शनैः+उच्छिद्य
बाधनिश्चयाविषयत्वज्ञानस्याप्रतिबन्धकतया,बाधनिश्चयाविषयत्वज्ञानस्य+अप्रतिबन्धकतया
घेरके,घेर+के
तन्तुगतरूपादावतिव्याप्तिर्निरस्तेति,तन्तुगतरूपादौ+अतिव्याप्तिः+निरस्ता+इति
स जनो जनो यस्तं,सः+जनः+जनः+यः+तं
विरामोऽवसानम्,विरामः+अवसानम्
मदद्गार,मत्+अद्ग+आर
भङ्गहा,भङ्ग+हा
तथाहि-आकाशपदात्स्वरूपत,तथाहि-आकाशपदात्+स्वरूपत
सम्बन्धावच्छिन्नत्वनिष्ठावच्छेदकताकप्रतियोगिताकभेदत्वोभयसम्बन्धेन,सम्बन्धावच्छिन्नत्वनिष्ठावच्छेदकताकप्रतियोगिताकभेदत्व+उभयसम्बन्धेन
केनैषा,केन+एषा
लॉग्ड,लॉग्ड
हटाना,हट+ाना
सहचरित,सह+चरित
बॉर्ड्स,बॉर्ड्स
चाप्रामाण्यशङ्कानन्तरमेव,च+अप्रामाण्यशङ्कानन्तरम्+एव
स च,सः+च
तद्वत्त्वं तदाश्रयत्वमिति,तद्वत्त्वम्+ तत्+आश्रयत्वम्+इति
सपक्षैकदेशवृत्तिरयं हेतुः,सपक्षैकदेशवृत्तिः+अयम्+ हेतुः
"बहुत्वाऽबोधकत्वात्,","बहुत्व+अबोधकत्वात्,"
लादीनामप्युपयोगो,लादीनामप्युपयः+गो
यस्यान्तःस्थानि,यस्य+अन्तः+स्थानि
चटकायेगी,चटका+येगी
अग्निसामान्यस्याविवादास्पदत्वेन,अग्निसामान्यस्य+अविवादास्पदत्वेन
स्खालक,स्खल्+अक
चलैला,चल+एला
परवल,पर+वल
सामूहिक,सामूहिक
पदार्थत्वस्यावच्छेदकतासंबन्धावच्छिन्नविषयतात्वेन,पदार्थत्वस्य+अवच्छेदकतासंबन्धावच्छिन्नविषयतात्वेन
पहराऊङ्गी,पहरा+ऊङ्गी
मलो हि,मलः+हि
समानविभक्तिकत्वनियमोनस्यात्,समानविभक्तिकत्वनियमः+नस्यात्
स्वंविधप्रत्ययः,स्वम्+विधप्रत्ययः
४.अतथेति,४.अतथा+इति
जलमेव,जलम्+एव
"प्रतिज्ञान्तरं,","प्रतिज्ञान्तरम्+,"
प्रयापणम्,प्र+यापनम्
गुलजग,गुल+ज+ग
महेन्द्रगढ,महा+इन्द्र+गढ
मल्लपा,मल्ल+पा
ओलम्पिक,ओलम्पिक
समसूद,सम+सूद
आम्प्रत्ययवत् कृञोऽनुप्रयोगस्य,आम्प्रत्ययवत्+कृञः+अनुप्रयोगस्य
छौङ्क,छौङ्क
प्रतिबन्धकत्वं विवक्षितमित्यपरितोषादाह---लिङ्गपदं,प्रतिबन्धकत्वम्+ विवक्षितम्+इति+अपरितोषात्+आह---लिङ्गपदम्+
उद्बोधो नाम,उद्बोधः+ नाम
F.N.६.भावोऽपीति-ग,F.N.६.भावः+अपि+इति-ग
चिन्तापि,चिन्ता+अपि
कांस्य,कांस्य
सुखमनुभवति,सुखम्+अनुभवति
तत्वं तदासाधकत्वनियमः,तत्वम्+ तदासाधकत्वनियमः
वागल,वाक्+अल
पचमहला,पच+महला
मटकाये,मटका+ये
उद्विभ्यां काकुदस्य,उद्विभ्याम्+काकुदस्य
लुभायेंगी,लुभा+येंगी
सम्बन्धवाचक,सम्बन्ध+वाचक
परफॉरमेंस,परफॉरमेंस
स्वपदार्थविशेष्यत्वाच् चक्षुरादेश्च,स्वपदार्थविशेष्यत्वात्+ चक्षुरादेः+च
मरदा,मर+दा
भेदनीय,भिद्+अनीय
गरुडास्त्र,गरुडास्त्र
लाभान्न,लाभात्+न
नभश्च,नभः+च
जानातीत्यादा आहर्यस्यासार्वत्रिकत्वादाह-विनाऽपीति,जानाति+इत्यादौ+ आहर्यस्य+असार्वत्रिकत्वात्+आह-विनाऽपि+इति
चुम्बन,चुम्ब्+अन
यस्मादर्थान्तरत्वं,यस्मात्+अर्थान्तरत्वं
वक्रमार्ग आश्रयणीय,वक्रमार्गः+ आश्रयणीयः+
भगवद्भक्त,भगवत्+भक्त
मोद्,मोद्
तत्राक्षतेरिति,तत्र+अक्षतेः+इति
छूपाने,छूपा+ने
चैत्रसम्बन्धिन एव,चैत्रसम्बन्धिनः+ एव
अनुमोदनैव,अनुमोदना+एव
"चास्मिन्,","च+अस्मिन्,"
गोहलद,गो+हल+द
नृपो मूढता,नृपः+मूढता
जयन्ती,जयन्ती
एवाऽत्र,एव+अत्र
रतवान,रत+वान
मामयम्,माम्+अयम्
तदापत्तिरित्यनुशयादाह---स्वरूपेति,तत्+आपत्तिः+इति+अनुशयात्+आह---स्वरूप+इति
छत्रराम,छत्र+राम
भैरवजी,भैरव+जी
गैरजाटव,गैर+जाटव
किमकुर्वत,किम्+अकुर्वत
चन्दनदान,चन्दन+दान
दिलवायेगी,दिलवा+येगी
खण्डखण्ड,खण्ड+खण्ड
घटादिति,घटात्+इति
मेघरथ,मेघ+रथ
रधिजभोरचि,रधिजभोः+अचि
सुलझाता,सुलझा+ता
रतह,रत+ह
द्वितीयलक्षणमेव,द्वितीयलक्षणम्+एव
दबाती,दबा+ती
मतं निरस्यति,मतम्+ निरस्यति
वृष्णि,वृष्णि
नमोस्तु,नमः+अस्तु
प्रभप्रीत,प्रभु+प्रीत
कॉन्ट्री,कॉन्ट्री
कर्णघण्टा,कर्ण+घण्टा
विभ्रम,वि+भ्रम
मुद्द्,मुद्द्
रामशकल,राम+शकल
पृथ्वीमङ्गल,पृथ्वी+मङ्गल
द्विसङ्कर,द्वि+सङ्कर
३.साध्याभावज्ञानेऽपि--ग,३.साध्याभावज्ञाने+अपि--ग
पक्षप्रतिपक्षपरिग्रहो वादः(गौ,पक्षप्रतिपक्षपरिग्रहः+ वादः(गौ
हॉलों,हॉलों
पुनःशब्दो वाक्यालंकारे,पुनःशब्दः+ वाक्यालंकारे
तीषसहलुभरुषरिषः,ति+इषसहलुभरुषरिषः
स्वनिल,स्वन्+इल
आत्मनन्द,आत्म+नन्द
बढाऊंगा,बढा+ऊंगा
घटश्च,घटः+च
चान्दमल,चान्दमल
छटाँक,छटा+अङ्क
जतलाया,जतला+या
मङ्गलमेष,मङ्गल+मेष
तदंश इति,तदंशः+ इति
कॉल्स,कॉल्स
महदसमञ्जसम्,महत्+असमञ्जसम्
वैकस्मिन्नेव,वा+एकस्मिन्+एव
प्रत्यपिभ्यां ग्रहेश्छन्दसि,प्रत्यपिभ्याम्+ग्रहेः+छन्दसि
रणपत,रण+पत
करोतीति,करोति+इति
बँधाके,बँधा+के
कञ्चन,कञ्चन
सत्त्वेनातिव्याप्तितादवस्थ्यादिति,सत्त्वेन+अतिव्याप्तितादवस्थ्यात्+इति
धनमन,धन+मन
जैमिनि,जैमिनि
मनुर्भव,मनुः+भव
फैल्सीपैरम,फैल्सीपैरम
युक्तोत्याशङ्क्य,युक्त+इत्याशङ्क्य
"वाच्यताव्यवहारनियामकत्वं,","वाच्यताव्यवहारनियामकत्वम्+,"
भुलाओ,भुला+ओ
सप्तवर्षीय,सप्त+वर्षीय
तपस्तप्त्वा,तपः+तप्त्वा
परेश्च घाङ्कयोः,परेः+च+घाङ्कयोः
खदान,खदान
तदहमपि,तत्+अहम्+अपि
स्थिरीकृत,स्थिरी+कृत
सन्धि,सन्धि
पर्वतन,पर्व+तन
चारुरित्यत्र,चारुः+इत्यत्र
मस्तपुर,मस्त+पुर
वर्णबाल,वर्ण+बाल
चन्दरवीर,चन्द+रवि+ईर
द्रव्यत्वादिति,द्रव्यत्वात्+इति
कतरस्मिन्नर्थे,कतरस्मिन्+अर्थे
एतत्स्थलीयेत्यर्थः,एतत्+स्थलीयेति+अर्थः
घटप्रतिपत्तावघटप्रतिपत्तिरघटप्रतिपत्तौ,घटप्रतिपत्तौ+अघटप्रतिपत्तिः+अघटप्रतिपत्तौ
अधिकरणवाचिनश्च,अधिकरणवाचिनः+च
राजनिरूपितस्वत्ववान्पुरुष,राजनिरूपितस्वत्ववान्+पुरुष
मिटाेङ्गी,मिटा+ेङ्गी
जयजीत,जय+जीत
